Timestamp,Age group,Gender (optional),Country of residence,Do you stream on Twitch or YouTube ?,What is your channel/account name? (Optional),Have you streamed with games that have Twitch integration options ?,How much did the Twitch integrations help boost engagement ? ,What game(s) did you stream with integrations ? (optional),How often do you watch Twitch streams ?,For how long do you watch Twitch streams ?,How often do you interact with chat during streams ?,"If integration features were enabled, how often have you used them ?",Do you donate to streamers ?  (Select all that apply),Do you have a favorite streamer ?,Who is your favorite streamer ?,"On a scale from 1 (not valuable) to 5 (extremely valuable), how valuable do you think integrating Twitch features into games is?  ","What benefits do you think Twitch integrations offer to the gaming experience?
(Select all that apply)",What kind of Twitch integration features would you like to see more?,Have you ever played a game that incorporated Twitch integrations?,You answered that you have played a game which incorporated twitch integrations. How did these interactions affect your overall enjoyment with the game ?,"What interaction features did you use ? (voting, username in game, etc) (optional)",Please describe your experience. What was enjoyable and what was annoying ? (optional),Would you be more likely to try or purchase a game that features Twitch integrations?,Do you have any comments you would like to add ? I would be happy to read them ! (optional)
21/02/2025 11:20:46,25 to 30,Male,Hungary,No,,,,,Several times a week,30 minutes to 1 hour,Always,Often,Prime subscription,Yes,Hutts,3,"Enhanced community engagement, Additional in-game rewards or content, Improved social experience","Voting, Viewer names in game, Members/ long time viewers having more impact (vote is worth more, more likely to have username chosen), Bits* donations having an impact on voting (the vote is worth more the more bits are donated to the streamer), Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc), Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly), Bits* milestone (event or effect activates if donation goal is reached)",Yes,3,Non. Not a streamer so can't use those features,,No,
22/02/2025 18:46:26,50 to 60,Female,Denmark,No,,,,,Never,Less than 30 minutes,Never,Sometimes,Never,No,,5,"Enhanced community engagement, Real-time interaction with streamers/players, Additional in-game rewards or content, Improved social experience, Makes streaming easier","Voting, Members/ long time viewers having more impact (vote is worth more, more likely to have username chosen), Bits* donations having an impact on voting (the vote is worth more the more bits are donated to the streamer), Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly), Bits* milestone (event or effect activates if donation goal is reached)",No,,,,Yes,no.
22/02/2025 23:21:49,20 to 25,Male,Denmark,No,,,,,Rarely,30 minutes to 1 hour,Never,Never used,Never,No,,4,"Enhanced community engagement, Additional in-game rewards or content","Members/ long time viewers having more impact (vote is worth more, more likely to have username chosen)",No,,,,Maybe,
23/02/2025 11:15:06,20 to 25,Other,USA,No,,,,,Several times a week,More than 2 hours,Rarely,Sometimes,Renewable subscription,Yes,Tomato,3,"Enhanced community engagement, Real-time interaction with streamers/players, Improved social experience","Viewer names in game, Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc), Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly)",No,,,,No,
23/02/2025 17:42:35,50 to 60,Female,Denmark,Yes,Boho Beautiful Yoga,No,,,Never,Less than 30 minutes,Never,Never used,Never,No,,3,Real-time interaction with streamers/players,"Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc)",No,,,,I don't know,
24/02/2025 20:53:47,20 to 25,Other,Germany,No,,,,,Rarely,1 to 2 hours,Often,Often,"Renewable subscription, Donations, Prime subscription",Yes,inislein,3,"Enhanced community engagement, Real-time interaction with streamers/players, Improved social experience","Voting, Members/ long time viewers having more impact (vote is worth more, more likely to have username chosen), Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc), Bits* milestone (event or effect activates if donation goal is reached)",No,,,,I don't know,"I'm not streaming so I don't emphasize Twitch integration in games, but I can totally see myself doing it if I were to stream "
25/02/2025 09:53:05,20 to 25,Male,Denmark,Yes,hypersonicsharkz,Yes,5,Beat Saber (By using mods),Several times a week,1 to 2 hours,Sometimes,Sometimes,Never,No,,5,"Enhanced community engagement, Makes streaming easier","Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc), Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly)",Yes,5,In-game chat and moderation. Song Requests from chat. ,"Makes it easier to stream, especially VR games. Also makes community engagement better",Maybe,
25/02/2025 11:25:08,20 to 25,Male,Denmark,No,,,,,A few times a month,1 to 2 hours,Rarely,Sometimes,Prime subscription,Yes,Moistcritical,4,"Enhanced community engagement, Additional in-game rewards or content","Viewer names in game, Members/ long time viewers having more impact (vote is worth more, more likely to have username chosen), Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly), Bits* milestone (event or effect activates if donation goal is reached)",No,,,,Maybe,
25/02/2025 17:00:31,20 to 25,Male,Denmark,No,,,,,Daily,Less than 30 minutes,Rarely,Rarely,Never,No,,2,Additional in-game rewards or content,"Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc)",Yes,3,,,No,
01/03/2025 10:36:20,30 to 35,Male,Brazil,No,,,,,Several times a week,More than 2 hours,Sometimes,Sometimes,Prime subscription,Yes,Inis,3,Enhanced community engagement,Viewer names in game,Yes,2,,,No,chiisep4
01/03/2025 10:46:13,25 to 30,Male,South Africa,No,,,,,Several times a week,More than 2 hours,Often,Sometimes,"Renewable subscription, Gifting subs, Donations",No,,4,"Enhanced community engagement, Real-time interaction with streamers/players, Improved social experience","Voting, Viewer names in game, Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc), Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly)",No,,,,Yes,
01/03/2025 22:35:03,30 to 35,Male,Chile,Yes,Josephkun27,No,,,A few times a month,1 to 2 hours,Often,Sometimes,Donations,Yes,eru ∇,4,"Enhanced community engagement, Real-time interaction with streamers/players, Additional in-game rewards or content","Viewer names in game, Members/ long time viewers having more impact (vote is worth more, more likely to have username chosen)",Yes,3,Username in game,Was interesting,Maybe,Uuhh... *head empty*
16/03/2025 18:51:01,20 to 25,Male,Denmark,No,,,,,Never,Less than 30 minutes,Never,Always,Never,No,,5,"Enhanced community engagement, Real-time interaction with streamers/players, Additional in-game rewards or content, Improved social experience","Voting, Bits* donations having an impact on voting (the vote is worth more the more bits are donated to the streamer)",No,,,,I don't know,Nice to meet you again. Please do contact back for user-evaluation. My email is vivek.misra100@gmail.com
17/03/2025 07:10:18,20 to 25,Female,Danmark,No,,,,,Never,Less than 30 minutes,Never,Never encountered integration features,Never,No,,4,"Enhanced community engagement, Real-time interaction with streamers/players, Improved social experience","Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc)",No,,,,I don't know,
19/03/2025 17:40:11,20 to 25,Female,Denmark,No,,,,,Rarely,30 minutes to 1 hour,Often,Sometimes,Never,No,,3,"Enhanced community engagement, Additional in-game rewards or content","Viewer names in game, Members/ long time viewers having more impact (vote is worth more, more likely to have username chosen), Customization (the streamer has options to tweak the integration, like enabling or disabling features, tweaking the impact of donations on voting, etc), Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly)",Yes,3,getting in-game content for watching twitch streams,That you have to watch a lot of Twitch to recieve the rewards. But free stuff is always nice,No,
22/03/2025 12:54:41,25 to 30,Male,Denmark,No,,,,,Rarely,30 minutes to 1 hour,Rarely,Never encountered integration features,Never,No,,2,. ,. ,No,,,,I don't know,
27/03/2025 09:23:50,25 to 30,Male,Denmark,Yes,,No,,,Rarely,1 to 2 hours,Often,Never encountered integration features,Never,Yes,Joshimuz,2,"Enhanced community engagement, Real-time interaction with streamers/players, Makes streaming easier","Voting, Chaos/ silly mode (viewers vote can make the gameplay get out of hand for the streamer, ex: extreme enemy spawn, spell spam, moving streamer's character randomly)",No,,,,No,
